Marca;;#;;Codigo;;Reff;;Descripcion;;Inv;;Foto
SIDERURGICO;;116;;1121002;;10115017;;LAMINA ZINC ONDULADO GALVALUME 0.17X800X3.00MTS (10 PIES);;145;;
SIDERURGICO;;117;;1121044;;null;;LAMINA ZINC ONDULADO GALVALUME 0.17X830X3.05MTS (10 PIES);;1;;
SIDERURGICO;;118;;1121032;;null;;LAMINA ZINC ONDULADO GALVALUME 0.17X830X3.66MTS (12 PIES);;12;;
SIDERURGICO;;119;;1121056;;null;;LAMINA ZINC ONDULADO NARANJA 0.20X810X3.66MTS (12 PIES);;92;;
SIDERURGICO;;120;;1115003;;null;;MALLA SEN-SEN FRIO 2.00X0.50MTS IMP;;426;;
SIDERURGICO;;121;;1110001;;0059;;MALLA TRUCKSON 6X6X100MTS2;;1;;
SIDERURGICO;;122;;1120009;;null;;PERFIL GUIA P/SANTA MARIA 2X1X2X2MMX6MTS;;72;;
SIDERURGICO;;123;;1120003;;10801001;;PERFIL MARCO P/PUERTA 100MMX0.90X5.15MTS;;36;;
SIDERURGICO;;124;;1120020;;null;;PERFIL MARCO P/PUERTA 120MMX0.90X5.15MTS;;84;;
SIDERURGICO;;125;;1120004;;10801003;;PERFIL MARCO P/PUERTA 150MMX0.90X5.15MTS;;423;;
SIDERURGICO;;126;;1120001;;80;;PERFIL MARCO P/VENTANA RECTO 100MMX0.90X5.15MTS;;168;;
SIDERURGICO;;127;;1120002;;10802002;;PERFIL MARCO P/VENTANA RECTO 150MMX0.90X5.15MTS;;82;;
SIDERURGICO;;128;;1120005;;null;;PERFIL ONGE 1-1/4"X1.50MMX6MTS;;25;;
SIDERURGICO;;129;;1120006;;10807002;;PERFIL ONGE 2"X2.00MMX6MTS;;38;;
SIDERURGICO;;130;;1120013;;10807001;;PERFIL ONGE 2"X2.20MMX6MTS;;31;;
SIDERURGICO;;131;;1120008;;000030;;PERFIL VIGUETA "U" 1"X2"X1"X2.00MMX6MTS;;41;;
SIDERURGICO;;132;;1120010;;null;;PERFIL VIGUETA "U" 1X2X1X2.20MMX6MTS;;39;;
SIDERURGICO;;133;;1120011;;null;;PERFIL VIGUETA "U" 1X2X1X2.50MMX6MTS;;3;;
SIDERURGICO;;134;;1116026;;10808002;;PISA VIDRIO 1/2"X0.90X6MTS;;76;;
SIDERURGICO;;135;;1125021;;null;;PLETINA 1-1/2"X1/4"X6MTS PERF H/RED 5/8";;38;;
SIDERURGICO;;136;;1125009;;null;;PLETINA 1-1/2"X3/16"X3MTS PERF H/CUAD 5/8";;2;;
SIDERURGICO;;137;;1125008;;null;;PLETINA 1-1/2"X3/16"X3MTS PERF H/RED 5/8";;2;;
SIDERURGICO;;138;;1125018;;10205028;;PLETINA 1-1/2"X3/16"X6MTS PERF H/CUAD 1/2";;17;;
SIDERURGICO;;139;;1125020;;null;;PLETINA 1-1/2"X3/16"X6MTS PERF H/CUAD 5/8";;38;;
SIDERURGICO;;140;;1125017;;10204030;;PLETINA 1-1/2"X3/16"X6MTS PERF H/RED 1/2";;42;;
SIDERURGICO;;141;;1125019;;null;;PLETINA 1-1/2"X3/16"X6MTS PERF H/RED 5/8";;27;;
SIDERURGICO;;142;;1125022;;null;;PLETINA 1-1/4"X1/4"X6MTS PERF H/RED 5/8";;50;;
SIDERURGICO;;143;;1125016;;null;;PLETINA 1-1/4"X3/16"X3MTS PERF H/CUAD 5/8";;9;;
SIDERURGICO;;144;;1125015;;null;;PLETINA 1-1/4"X3/16"X3MTS PERF H/RED 5/8";;8;;
SIDERURGICO;;145;;1125003;;10205026;;PLETINA 1-1/4"X3/16"X6MTS PERF H/CUAD 1/2";;64;;
SIDERURGICO;;146;;1125024;;10204028;;PLETINA 1-1/4"X3/16"X6MTS PERF H/RED 1/2";;49;;
SIDERURGICO;;147;;1125004;;null;;PLETINA 1-1/4"X3/16"X6MTS PERF H/RED 5/8";;56;;
SIDERURGICO;;148;;1107009;;null;;PLETINA H.N 1"X1/4"X6MTS;;71;;
SIDERURGICO;;149;;1107007;;000080;;PLETINA H.N 1"X1/8"X6MTS;;150;;
SIDERURGICO;;150;;1107008;;000090;;PLETINA H.N 1"X3/16"X6MTS;;48;;
SIDERURGICO;;151;;1107001;;null;;PLETINA H.N 1/2"X1/8"X6MTS;;216;;
SIDERURGICO;;152;;1107020;;000060;;PLETINA H.N 1/2"X2MMX6MTS;;1;;
SIDERURGICO;;153;;1107002;;null;;PLETINA H.N 1/2"X3/16"X6MTS;;82;;
SIDERURGICO;;154;;1107015;;10202020;;PLETINA H.N 1-1/2"X1/4"X6MTS;;58;;
SIDERURGICO;;155;;1107013;;000080;;PLETINA H.N 1-1/2"X1/8"X6MTS;;101;;
SIDERURGICO;;156;;1125023;;000100/PL1123166;;PLETINA H.N 1-1/2"X3/16X6MTS;;31;;
SIDERURGICO;;157;;1107012;;10202019;;PLETINA H.N 1-1/4"X1/4"X6MTS;;82;;
SIDERURGICO;;158;;1107010;;null;;PLETINA H.N 1-1/4"X1/8"X6MTS;;131;;
SIDERURGICO;;159;;1107011;;136;;PLETINA H.N 1-1/4"X3/16"X6MTS;;73;;
SIDERURGICO;;160;;1107022;;000110;;PLETINA H.N 2"X1/4"X6MTS;;30;;
SIDERURGICO;;161;;1107016;;null;;PLETINA H.N 2"X1/8"X6MTS;;61;;
SIDERURGICO;;162;;1107017;;null;;PLETINA H.N 2"X3/16"X6MTS;;23;;
SIDERURGICO;;163;;1107005;;null;;PLETINA H.N 3/4"X1/8"X6MTS;;130;;
SIDERURGICO;;164;;1107006;;P3416;;PLETINA H.N 3/4"X3/16"X6MTS;;109;;
SIDERURGICO;;165;;1107019;;null;;PLETINA H.N 65MMX6MMX6MTS;;4;;
SIDERURGICO;;166;;1130005;;0070103;;RESORTE P/STA MARIA 60X1.5MMXMTS;;63;;
SIDERURGICO;;167;;1116021;;null;;TUBO CUADRADO 1"X1"X0.70X6MTS;;81;;
SIDERURGICO;;168;;1116001;;5080885;;TUBO CUADRADO 1"X1"X0.80X6MTS;;248;;
SIDERURGICO;;169;;1116002;;000060;;TUBO CUADRADO 1"X1"X0.90X6MTS;;36;;
SIDERURGICO;;170;;1116004;;null;;TUBO CUADRADO 1"X1"X1.00X6MTS;;87;;
SIDERURGICO;;171;;1116005;;null;;TUBO CUADRADO 1"X1"X1.20X6MTS;;104;;
SIDERURGICO;;172;;1116006;;null;;TUBO CUADRADO 1"X1"X1.50X6MTS;;7;;
SIDERURGICO;;173;;1116030;;10702009;;TUBO CUADRADO 1"X1"X2.00X6MTS;;99;;
SIDERURGICO;;174;;1116025;;10701127;;TUBO CUADRADO 1/2"X1/2"X0.70X6MTS;;182;;
SIDERURGICO;;175;;1116027;;null;;TUBO CUADRADO 1/2"X1/2"X0.80X6MTS;;266;;
SIDERURGICO;;176;;1116022;;000110;;TUBO CUADRADO 1/2X1/2X0.90X6MTS;;48;;
SIDERURGICO;;177;;1116024;;10701141;;TUBO CUADRADO 1-1/2"X1-1/2"X0.80X6MTS;;78;;
SIDERURGICO;;178;;1116009;;000020;;TUBO CUADRADO 1-1/2"X1-1/2"X0.90X6MTS;;42;;
SIDERURGICO;;179;;1116020;;null;;TUBO CUADRADO 1-1/2"X1-1/2"X1.20MMX6MTS;;1;;
SIDERURGICO;;180;;1116007;;null;;TUBO CUADRADO 1-1/4"X1-1/4"X0.90X6MTS;;61;;
SIDERURGICO;;181;;1116028;;null;;TUBO CUADRADO 2"X2"X0.70X6MTS;;3;;
SIDERURGICO;;182;;1116011;;10701066;;TUBO CUADRADO 2"X2"X0.90X6MTS;;22;;
SIDERURGICO;;183;;1116012;;null;;TUBO CUADRADO 2"X2"X1.10X6MTS;;17;;
SIDERURGICO;;184;;1116031;;10701121;;TUBO CUADRADO 2"X2"X1.20X6MTS;;27;;
SIDERURGICO;;185;;1116018;;null;;TUBO CUADRADO 2"X2"X2.20X6MTS;;1;;
